codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
902226,,12,-22.920287,-43.60808,1737420318000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],113955.5, ,0.0
902216,,12,-22.920483,-43.608001,1737420074000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],95041.0, ,0.0
902237,,10,-23.01483,-43.468438,1737420936000,52.7,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],100545.1,255,1.0
902223,,11,-22.920221,-43.645348,1737420528000,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],37930.0,73,0.0
902215,,11,-22.968533,-43.620371,1737420938000,5.4,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],123275.4,78,1.0
902122,SQX3B59,10,-22.91978,-43.607335,1737419304000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],134091.799, ,0.0
902290,,22,-22.920005,-43.608562,1736482074000,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],95109.8, ,0.0
902291,,20,-22.919856,-43.64584,1737420942000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],107367.7, ,1.0
902257,,20,-22.919771,-43.645546,1737420391000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],94336.9, ,0.0
902231,,18,-22.920659,-43.645084,1737419349000,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],117186.1, ,0.0
902289,,20,-22.91991,-43.645496,1737420453000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],62982.3, ,0.0
902236,,11,-23.005548,-43.431371,1737420940000,23.2,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],83708.8,92,1.0
902273,,20,-22.919713,-43.607277,1737419197000,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],100632.1,91,0.0
902253,,19,-22.9199,-43.645679,1737420945000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],100447.6, ,1.0
902285,,10,-22.920063,-43.608213,1737419184000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],90886.9, ,0.0
902240,,12,-22.919645,-43.64561,1737419978000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],123441.9, ,0.0
902228,,25,-22.949634,-43.651935,1737420940000,46.2,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],137981.9,319,1.0
902242,,12,-23.000999,-43.367377,1737419868000,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],116328.0,132,0.0
902225,,10,-22.947923,-43.65369,1737420945000,62.2,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],107637.7,138,1.0
902247,,10,-22.917574,-43.684283,1737420944000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],116521.6, ,1.0
902279,,19,-22.920528,-43.607004,1737420153000,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],96504.0, ,0.0
902259,,12,-22.919964,-43.645798,1737420936000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],118810.6, ,1.0
902232,,10,-22.916624,-43.607004,1737420945000,11.5,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],125976.6,173,1.0
902233,,10,-23.007335,-43.5497,1737420947000,57.8,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],122980.4,284,1.0
